priority,slug,url,impressions,clicks,ctr,avg_position,action
P1,oldest-universities,https://www.slowmorocco.com/stories/oldest-universities,6775,2,0.03%,7.4,rewrite (snippet bleeder)
P1,moroccan-dirham-currency,https://www.slowmorocco.com/stories/moroccan-dirham-currency,5764,16,0.28%,12.5,rewrite (snippet bleeder)
P1,the-green-march,https://www.slowmorocco.com/stories/the-green-march,3267,0,0.00%,7.8,rewrite-priority (zero clicks)
P1,dynasty-timeline,https://www.slowmorocco.com/stories/dynasty-timeline,2955,7,0.24%,5.2,rewrite (snippet bleeder)
P1,wildlife-atlas-morocco,https://www.slowmorocco.com/stories/wildlife-atlas-morocco,2909,7,0.24%,9.6,rewrite (snippet bleeder)
P1,amazigh-identity-map,https://www.slowmorocco.com/stories/amazigh-identity-map,2811,8,0.28%,9.1,rewrite (snippet bleeder)
P1,automotive-industry,https://www.slowmorocco.com/stories/automotive-industry,2323,1,0.04%,6.3,rewrite (snippet bleeder)
P1,the-khettara,https://www.slowmorocco.com/stories/the-khettara,1824,8,0.44%,5.5,review-and-rewrite
P1,the-battle-of-three-kings,https://www.slowmorocco.com/stories/the-battle-of-three-kings,1763,3,0.17%,7.0,rewrite (snippet bleeder)
P1,dirhams-journey,https://www.slowmorocco.com/stories/dirhams-journey,1545,0,0.00%,5.6,rewrite-priority (zero clicks)
P2,moroccan-genome,https://www.slowmorocco.com/stories/moroccan-genome,1483,7,0.47%,6.2,review-and-rewrite
P2,world-cup-blueprint,https://www.slowmorocco.com/stories/world-cup-blueprint,1450,7,0.48%,4.8,review-and-rewrite
P2,water-crisis-morocco,https://www.slowmorocco.com/stories/water-crisis-morocco,1407,3,0.21%,4.4,rewrite (snippet bleeder)
P2,morocco-economy,https://www.slowmorocco.com/stories/morocco-economy,1308,1,0.08%,10.2,rewrite (snippet bleeder)
P2,twelve-dynasties,https://www.slowmorocco.com/stories/twelve-dynasties,1307,1,0.08%,6.5,rewrite (snippet bleeder)
P2,amazigh-identity,https://www.slowmorocco.com/stories/amazigh-identity,1256,0,0.00%,6.3,rewrite-priority (zero clicks)
P2,french-protectorate,https://www.slowmorocco.com/stories/french-protectorate,1184,2,0.17%,7.3,rewrite (snippet bleeder)
P2,imperial-cities-deep,https://www.slowmorocco.com/stories/imperial-cities-deep,1162,0,0.00%,11.5,rewrite-priority (zero clicks)
P2,morocco-population,https://www.slowmorocco.com/stories/morocco-population,1087,0,0.00%,9.2,rewrite-priority (zero clicks)
